,日期,名称,开盘价,收盘价,最低价,最高价
0,2021-02-01,朗源股份,4.35,4.65,4.04,4.65
1,2021-02-02,朗源股份,4.65,4.57,4.48,4.66
2,2021-02-03,朗源股份,4.6,4.5,4.39,4.7
3,2021-02-04,朗源股份,4.45,4.23,4.2,4.45
4,2021-02-05,朗源股份,4.26,4.17,4.15,4.4
5,2021-02-08,朗源股份,4.23,4.1,4.09,4.23
6,2021-02-09,朗源股份,4.12,4.1,4.01,4.16
7,2021-02-10,朗源股份,4.09,3.91,3.84,4.13
8,2021-02-18,朗源股份,3.97,4.08,3.97,4.19
9,2021-02-19,朗源股份,4.08,4.37,4.0,4.46
10,2021-02-22,朗源股份,4.45,4.49,4.37,4.67
11,2021-02-23,朗源股份,4.45,4.33,4.31,4.52
12,2021-02-24,朗源股份,4.37,4.4,4.33,4.49
13,2021-02-25,朗源股份,4.4,4.31,4.29,4.46
14,2021-02-26,朗源股份,4.29,4.35,4.21,4.44
